Date;Hour;Net Load
2023-08-22;13;4837.0
2023-08-22;14;4797.0
2023-08-22;15;4947.0
2023-08-22;16;5277.0
2023-08-22;17;5783.0
2023-08-22;18;6456.0
2023-08-22;19;7183.0
2023-08-22;20;7630.0
2023-08-22;21;7853.0
2023-08-22;22;7725.0
2023-08-22;23;7305.0
2023-08-22;24;6944.0
2023-08-23;1;6667.0
2023-08-23;2;6232.0
2023-08-23;3;5948.0
2023-08-23;4;5739.0
2023-08-23;5;5650.0
2023-08-23;6;5608.0
2023-08-23;7;5597.0
2023-08-23;8;5590.0
2023-08-23;9;5639.0
2023-08-23;10;5432.0
2023-08-23;11;5150.0
2023-08-23;12;4850.0
2023-08-23;13;4806.0
2023-08-23;14;4980.0
2023-08-23;15;5116.0
2023-08-23;16;5334.0
2023-08-23;17;5706.0
2023-08-23;18;6327.0
2023-08-23;19;6999.0
2023-08-23;20;7511.0
2023-08-23;21;7788.0
2023-08-23;22;7688.0
2023-08-23;23;7284.0
2023-08-23;24;6928.0
2023-08-24;1;6530.0
2023-08-24;2;6102.0
2023-08-24;3;5886.0
2023-08-24;4;5667.0
2023-08-24;5;5457.0
2023-08-24;6;5462.0
2023-08-24;7;5597.0
2023-08-24;8;5771.0
2023-08-24;9;5650.0
2023-08-24;10;5341.0
2023-08-24;11;5071.0
2023-08-24;12;4836.0
2023-08-24;13;4877.0
2023-08-24;14;5130.0
2023-08-24;15;5319.0
2023-08-24;16;5597.0
2023-08-24;17;5976.0
2023-08-24;18;6488.0
2023-08-24;19;7088.0
2023-08-24;20;7392.0
2023-08-24;21;7613.0
2023-08-24;22;7485.0
2023-08-24;23;7063.0
2023-08-24;24;6754.0
2023-08-25;1;6344.0
2023-08-25;2;6062.0
2023-08-25;3;5769.0
2023-08-25;4;5555.0
2023-08-25;5;5465.0
2023-08-25;6;5445.0
2023-08-25;7;5532.0
2023-08-25;8;5692.0
2023-08-25;9;5598.0
2023-08-25;10;5264.0
2023-08-25;11;4902.0
2023-08-25;12;4619.0
2023-08-25;13;4582.0
2023-08-25;14;4849.0
2023-08-25;15;5145.0
2023-08-25;16;5446.0
2023-08-25;17;5730.0
2023-08-25;18;6326.0
2023-08-25;19;7019.0
2023-08-25;20;7421.0
2023-08-25;21;7636.0
2023-08-25;22;7420.0
2023-08-25;23;7001.0
2023-08-25;24;6675.0
2023-08-26;1;6299.0
2023-08-26;2;6028.0
2023-08-26;3;5794.0
2023-08-26;4;5578.0
2023-08-26;5;5459.0
2023-08-26;6;5393.0
2023-08-26;7;5372.0
2023-08-26;8;5278.0
